索引,字符,对应编码
271,,0x15 0x2F
272,,0x15 0x30
273,,0x15 0x31
274,,0x15 0x32
275,,0x15 0x33
276,,0x15 0x34
277,,0x15 0x35
278,,0x15 0x36
279,,0x15 0x37
280,,0x15 0x38
281,,0x15 0x39
282,,0x15 0x3A
283,,0x15 0x3B
284,,0x15 0x3C
285,,0x15 0x3D
286,,0x15 0x3E
287,,0x15 0x3F
288,,0x15 0x40
289,,0x15 0x41
290,,0x15 0x42
291,,0x15 0x43
292,,0x15 0x44
293,,0x15 0x45
294,,0x15 0x46
295,,0x15 0x47
296,,0x15 0x48
297,,0x15 0x49
298,,0x15 0x4A
299,,0x15 0x4B
300,,0x15 0x4C
301,,0x15 0x4D
302,,0x15 0x4E
303,,0x15 0x4F
304,,0x15 0x50
305,,0x15 0x51
306,,0x15 0x52
307,,0x15 0x53
308,,0x15 0x54
309,,0x15 0x55
310,,0x15 0x56
311,,0x15 0x57
312,,0x15 0x58
313,,0x15 0x59
314,,0x15 0x5A
315,,0x15 0x5B
316,,0x15 0x5C
317,,0x15 0x5D
318,,0x15 0x5E
319,,0x15 0x5F
320,,0x15 0x60
321,,0x15 0x61
322,,0x15 0x62
323,,0x15 0x63
324,,0x15 0x64
325,,0x15 0x65
326,,0x15 0x66
327,,0x15 0x67
328,,0x15 0x68
329,,0x15 0x69
330,,0x15 0x6A
331,,0x15 0x6B
332,,0x15 0x6C
333,,0x15 0x6D
334,,0x15 0x6E
335,,0x15 0x6F
